User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,20,19256,1
15810944,Male,34,15561,1
15668575,Female,29,38396,1
15603246,Female,27,58856,1
15804002,Male,22,79746,0
15728773,Male,24,55821,0
15598044,Female,30,80823,1
15694829,Female,31,145629,1
15600575,Male,28,33069,1
15727311,Female,33,64722,1
15570769,Female,27,81117,0
15606274,Female,26,49490,0
15746139,Male,20,81529,1
15704987,Male,31,15222,1
15628972,Male,18,80749,0
15697686,Male,28,77541,1
15733883,Male,46,23390,1
15617482,Male,43,22617,1
15704583,Male,47,23947,1
15621083,Female,46,26910,1
15649487,Male,47,19251,1
15736760,Female,49,46959,1
15714658,Male,51,44690,0
15599081,Female,43,17410,1
15705113,Male,47,25940,1
15631159,Male,47,24363,1
15792818,Male,51,24615,1
15633531,Female,48,27570,0
15744529,Male,32,38636,0
15669656,Male,33,17656,0
15581198,Male,32,73377,0
15729054,Female,30,14189,1
15573452,Female,18,17128,1
15776733,Female,31,45515,0
15724858,Male,25,93249,0
15713144,Male,34,22838,0
15690188,Female,34,26754,0
15689425,Male,29,47298,1
15671766,Female,26,69059,1
15782806,Female,26,32827,1
15764419,Female,26,12484,1
15591915,Female,32,51633,0
15772798,Male,36,103681,1
15792008,Male,27,11266,1
15715541,Female,30,86101,1
15639277,Male,24,16912,0
15798850,Male,28,79468,1
15776348,Female,25,57715,0
15727696,Male,30,139088,1
15793813,Female,31,89318,0
15694395,Female,24,32423,0
15764195,Female,19,41624,1
15744919,Female,30,78161,0
15671655,Female,33,26281,0
15654901,Female,24,57397,1
15649136,Female,22,55064,1
15775562,Female,22,44119,1
15807481,Male,31,77260,1
15642885,Male,20,19382,0
15789109,Female,34,11285,0
15814004,Male,26,24933,1
15673619,Male,26,91518,0
15595135,Female,23,67075,0
15583681,Male,33,124176,1
15605000,Female,59,82103,0
15718071,Male,21,60974,0
15679760,Male,25,15810,1
15654574,Female,22,78682,0
15577178,Female,22,62188,0
15595324,Female,29,71517,0
15756932,Male,23,80548,1
15726358,Female,27,27355,1
15595228,Female,18,22367,1
15782530,Female,33,117487,1
15592877,Male,31,18429,0
15651983,Male,34,110828,1
15746737,Male,20,52675,0
15774179,Female,20,23605,1
15667265,Female,30,90299,0
15655123,Female,29,17968,1
15595917,Male,27,81123,0
15668385,Male,42,40518,0
15709476,Male,19,44430,1
15711218,Male,38,83891,1
15798659,Female,29,66757,0
15663939,Female,28,19403,1
15694946,Male,22,55129,1
15631912,Female,28,87291,1
15768816,Male,26,79074,0
15682268,Male,32,48387,0
15684801,Male,25,83251,1
15636428,Female,28,16308,0
15809823,Male,27,19597,0
15699284,Female,32,29724,1
15786993,Female,30,83946,1
15709441,Female,34,46419,1
15710257,Female,38,24620,0
15582492,Male,27,118304,1
15575694,Male,37,69952,0
15756820,Female,31,36079,0
15766289,Male,29,87441,1
15593014,Male,28,55800,0
15584545,Female,35,89154,1
15675949,Female,31,15096,1
15672091,Female,22,16350,0
15801658,Male,19,69684,0
15706185,Female,29,37050,0
15789863,Male,25,85494,0
15720943,Male,26,90555,0
15697997,Female,37,75038,0
15665416,Female,36,69354,0
15660200,Female,36,74362,1
15619653,Male,36,57175,1
15773447,Male,38,54568,0
15739160,Male,42,83804,0
15689237,Male,37,60359,1
15679297,Male,33,73020,0
15591433,Male,35,54874,1
15642725,Male,39,55655,0
15701962,Male,41,56193,0
15811613,Female,33,72609,0
15741049,Male,34,75463,0
15724423,Female,43,72772,1
15574305,Male,36,50413,1
15678168,Female,41,54183,1
15697020,Female,42,64963,1
15610801,Male,42,67027,0
15745232,Male,25,31940,0
15722758,Male,28,15893,1
15792102,Female,25,84136,0
15675185,Male,31,58798,1
15801247,Male,31,27152,0
15725660,Male,30,83051,1
15638963,Female,23,70361,1
15800061,Female,30,52805,0
15578006,Male,22,61180,1
15668504,Female,23,81965,0
15687491,Male,28,10896,1
15610403,Female,30,56041,0
15741094,Male,21,23902,1
15807909,Male,17,89064,0
15666141,Female,16,69864,1
15617134,Male,37,58029,0
15783029,Male,28,84593,1
15622833,Female,31,23416,0
15746422,Female,23,93734,0
15750839,Female,27,92636,1
15749130,Female,42,29864,1
15779862,Male,30,61261,0
15767871,Male,19,70340,1
15679651,Female,26,11826,0
15576219,Male,38,43359,0
15699247,Male,32,72374,1
15619087,Female,36,52536,1
15605327,Male,37,49011,0
15610140,Female,34,16945,0
15791174,Male,45,54160,0
15602373,Male,30,79990,1
15762605,Male,23,33507,0
15598840,Female,29,139290,1
15744279,Male,33,98446,1
15670619,Male,26,93159,0
15599533,Female,34,37448,0
15757837,Male,36,41782,1
15697574,Female,32,66646,1
15578738,Female,19,87430,0
15762228,Female,19,58293,0
15614827,Female,36,67483,1
15789815,Male,29,143399,1
15579781,Female,26,49494,0
15587013,Male,22,91057,1
15570932,Male,36,113098,1
15794661,Female,29,120791,0
15581654,Female,35,46603,1
15644296,Female,36,73570,0
15614420,Female,21,26789,1
15609653,Female,33,49161,1
15594577,Male,23,22001,1
15584114,Male,27,24711,0
15673367,Female,28,34867,0
15685576,Male,29,19505,0
15774727,Female,32,69692,0
15694288,Female,33,118815,1
15603319,Male,32,41148,0
15759066,Female,36,62855,0
15814816,Male,33,62601,0
15724402,Female,22,78456,1
15571059,Female,31,43346,0
15674206,Male,36,69141,1
15715160,Male,30,36681,0
15730448,Male,23,88580,0
15662067,Female,20,22589,1
15779581,Male,29,44456,0
15662901,Male,19,72932,1
15689751,Male,26,84941,1
15667742,Male,35,43556,0
15738448,Female,33,76588,1
15680243,Female,22,38587,0
15745083,Male,26,82224,0
15708228,Male,37,21002,1
15628523,Male,37,34252,1
15708196,Male,48,75847,0
15735549,Female,37,132600,1
15809347,Female,43,71154,0
15660866,Female,59,101292,1
15766609,Female,44,47838,0
15654230,Female,58,134209,1
15794566,Female,54,114390,0
15800890,Female,37,137650,1
15697424,Female,44,19989,0
15724536,Female,45,97410,1
15735878,Male,54,146450,1
15707596,Female,58,40390,0
15657163,Male,34,62486,1
15622478,Male,44,39416,0
15779529,Female,58,104178,1
15636023,Male,46,61234,0
15582066,Male,41,81795,0
15666675,Female,46,98039,1
15732987,Male,57,140877,1
15789432,Female,39,80548,0
15663161,Male,33,87246,0
15694879,Male,38,148331,1
15593715,Male,59,97767,1
15575002,Female,32,62123,0
15622171,Male,34,54037,0
15795224,Female,35,124872,1
15685346,Male,59,128516,1
15691808,Female,37,73627,0
15721007,Female,44,84046,1
15794253,Female,35,142032,1
15694453,Male,37,45240,0
15813113,Male,42,105972,1
15614187,Male,46,84635,1
15619407,Female,38,111920,0
15646227,Male,47,75007,1
15660541,Male,43,52324,0
15753874,Female,35,81937,0
15617877,Female,48,85092,0
15772073,Female,53,146160,1
15701537,Male,43,148249,1
15736228,Male,35,58246,0
15780572,Female,50,83413,1
15769596,Female,53,108933,1
15586996,Female,44,74748,0
15722061,Female,48,145955,1
15638003,Female,32,47815,0
15775590,Female,56,124138,1
15730688,Male,40,55944,0
15753102,Female,33,96181,1
15810075,Female,41,40997,0
15723373,Male,40,54352,0
15795298,Female,51,135672,1
15584320,Female,35,150248,0
15724161,Female,52,41460,0
15750056,Female,49,85024,1
15609637,Female,41,71963,1
15794493,Male,39,53862,1
15569641,Female,58,94296,1
15815236,Female,42,135431,1
15811177,Female,36,74346,0
15680587,Male,37,144791,1
15672821,Female,53,128901,1
15767681,Female,32,76632,1
15600379,Male,49,91787,1
15801336,Female,39,111235,1
15721592,Male,39,75407,0
